Date,Open,High,Low,Volume,Close
1/7/1999,0.377232,0.402344,0.376116,1429019200,0.401786
1/8/1999,0.415737,0.418527,0.392857,678832000,0.409598
1/11/1999,0.408482,0.411272,0.40067,560974400,0.41183
1/12/1999,0.413504,0.416295,0.393973,820736000,0.415179
1/13/1999,0.382813,0.422433,0.377232,1047816000,0.36942
1/14/1999,0.40625,0.410714,0.366629,1723859200,0.368862
1/15/1999,0.373326,0.376116,0.357143,1006006400,0.364955
1/19/1999,0.374442,0.37779,0.360491,534889600,0.362165
1/20/1999,0.366629,0.375,0.361607,778120000,0.34654
1/21/1999,0.361049,0.362165,0.334821,600488000,0.345982
1/22/1999,0.336496,0.352679,0.330915,345766400,0.351563
1/25/1999,0.350446,0.353237,0.34654,385336000,0.361607
1/26/1999,0.356585,0.364955,0.353795,560044800,0.358259
1/27/1999,0.366071,0.36942,0.356585,364952000,0.364955
1/28/1999,0.364955,0.368304,0.359933,336280000,0.367746
1/29/1999,0.367746,0.371094,0.357143,242715200,0.365513
2/1/1999,0.37221,0.374442,0.359933,278913600,0.349888
2/2/1999,0.360491,0.363839,0.348214,307160000,0.358817
2/3/1999,0.348214,0.362165,0.345982,338744000,0.33817
2/4/1999,0.358817,0.359375,0.337054,463780800,0.324219
2/5/1999,0.341518,0.342634,0.316964,777201600,0.337054
2/8/1999,0.327567,0.338728,0.323661,468227200,0.332031
2/9/1999,0.338728,0.348772,0.330915,701153600,0.342076
2/10/1999,0.329241,0.345424,0.321429,563628800,0.353795
2/11/1999,0.345982,0.354911,0.344308,565196800,0.336496
2/12/1999,0.34933,0.34933,0.330357,428904000,0.342076
2/16/1999,0.347098,0.347098,0.33817,300227200,0.330357
2/17/1999,0.340402,0.345424,0.329799,296060800,0.321429
2/18/1999,0.335379,0.33817,0.317522,500169600,0.332031
2/19/1999,0.323661,0.336496,0.323103,361692800,0.343192
2/22/1999,0.333705,0.347098,0.332589,298670400,0.343192
2/23/1999,0.344308,0.353237,0.338728,322179200,0.334263
2/24/1999,0.34654,0.348214,0.333705,212755200,0.329799
2/25/1999,0.333147,0.336496,0.325893,264600000,0.310826
2/26/1999,0.325893,0.330357,0.308036,667251200,0.301339
3/1/1999,0.310826,0.310826,0.300223,487827200,0.309152
3/2/1999,0.304688,0.31529,0.301339,683054400,0.305246
3/3/1999,0.310268,0.313616,0.299107,293350400,0.298549
3/4/1999,0.308036,0.308036,0.289063,367270400,0.296317
3/5/1999,0.306362,0.306362,0.289063,468036800,0.30692
3/8/1999,0.296875,0.30971,0.296317,550670400,0.304688
3/9/1999,0.306362,0.30692,0.299107,319692800,0.290737
3/10/1999,0.305246,0.305246,0.289621,546280000,0.287388
3/11/1999,0.287946,0.302455,0.285714,473659200,0.296317
3/12/1999,0.288504,0.299107,0.288504,271398400,0.304129
3/15/1999,0.297433,0.3125,0.296875,352161600,0.316964
3/16/1999,0.3125,0.317522,0.311942,399828800,0.304129
3/17/1999,0.320871,0.321987,0.303013,366318400,0.316964
3/18/1999,0.30692,0.31808,0.305804,227080000,0.299107
3/19/1999,0.320871,0.321429,0.293527,536502400,0.313058
3/22/1999,0.303571,0.314174,0.294085,593611200,0.294643
3/23/1999,0.307478,0.307478,0.292411,415553600,0.300781
3/24/1999,0.296875,0.301339,0.290179,400153600,0.301897
3/25/1999,0.30692,0.311384,0.297991,399963200,0.296875
3/26/1999,0.301339,0.301897,0.294643,253836800,0.315848
3/29/1999,0.299107,0.316406,0.298549,568870400,0.320313
3/30/1999,0.3125,0.324777,0.3125,554523200,0.320871
3/31/1999,0.324777,0.331473,0.320313,422352000,0.321987
4/1/1999,0.321987,0.327567,0.319196,262057600,0.330915
4/5/1999,0.321429,0.33817,0.321429,460936000,0.339286
4/6/1999,0.328683,0.342076,0.328683,628588800,0.331473
4/7/1999,0.339844,0.341518,0.324777,411812800,0.329241
4/8/1999,0.329241,0.330915,0.321429,296408000,0.328125
4/9/1999,0.323661,0.332589,0.320871,268542400,0.323661
4/12/1999,0.3125,0.329241,0.311384,395819200,0.309152
4/13/1999,0.324219,0.328683,0.308036,412384000,0.317243
4/14/1999,0.314732,0.330915,0.3125,681027200,0.319196
4/15/1999,0.315848,0.323103,0.306362,1734476800,0.316406
4/16/1999,0.320313,0.321987,0.314732,502219200,0.302455
4/19/1999,0.318638,0.321429,0.299107,921816000,0.304129
4/20/1999,0.302455,0.310268,0.299107,523857600,0.30692
4/21/1999,0.303571,0.30692,0.299107,351400000,0.324777
4/22/1999,0.313058,0.327009,0.313058,740174400,0.349888
4/23/1999,0.323661,0.352121,0.323661,1046841600,0.365513
4/26/1999,0.352679,0.368304,0.350446,927931200,0.408482
4/27/1999,0.383929,0.40904,0.383929,2106048000,0.393415
4/28/1999,0.398438,0.407924,0.389509,954990400,0.383929
4/29/1999,0.386161,0.396205,0.373047,789308800,0.410714
4/30/1999,0.392857,0.420759,0.392857,1472329600,0.442522
5/3/1999,0.411272,0.446429,0.408482,1470436800,0.415179
5/4/1999,0.430804,0.434152,0.412388,811238400,0.419643
5/5/1999,0.413504,0.419643,0.398438,579297600,0.397321
5/6/1999,0.415737,0.418527,0.392857,433148800,0.409598
5/7/1999,0.398438,0.409598,0.381696,434716800,0.404018
5/10/1999,0.417411,0.419085,0.398438,392996800,0.399554
5/11/1999,0.40067,0.412388,0.388951,458595200,0.415179
5/12/1999,0.40067,0.415179,0.393973,395124800,0.412388
5/13/1999,0.414621,0.417969,0.40625,295523200,0.396205
5/14/1999,0.402902,0.40904,0.396205,226632000,0.396205
5/17/1999,0.390625,0.398996,0.383929,210761600,0.404018
5/18/1999,0.400112,0.410714,0.396205,418376000,0.40346
5/19/1999,0.40625,0.408482,0.388393,298278400,0.379464
5/20/1999,0.405692,0.408482,0.379464,417715200,0.392299
5/21/1999,0.383929,0.395647,0.380022,463187200,0.374442
5/24/1999,0.389509,0.395647,0.373884,260926400,0.370536
5/25/1999,0.371094,0.378906,0.365513,366508800,0.393415
5/26/1999,0.372768,0.396205,0.368304,437550400,0.388393
5/27/1999,0.385603,0.390625,0.381138,336761600,0.393415
5/28/1999,0.386719,0.395647,0.385045,201129600,0.400112
6/1/1999,0.401786,0.404576,0.396205,461025600,0.415737
6/2/1999,0.397321,0.428013,0.392857,521057600,0.423549
6/3/1999,0.418527,0.428571,0.417969,488510400,0.429688
6/4/1999,0.425223,0.430246,0.421875,368681600,0.436942
6/7/1999,0.429688,0.4375,0.424107,418286400,0.425781
6/8/1999,0.435268,0.435826,0.424665,313656000,0.432478
6/9/1999,0.423549,0.433036,0.423549,353785600,0.429688
6/10/1999,0.427455,0.430804,0.422433,317049600,0.414621
6/11/1999,0.429688,0.433036,0.412946,185046400,0.405692
6/14/1999,0.415179,0.416295,0.402902,157080000,0.411272
6/15/1999,0.40346,0.417411,0.402902,130390400,0.428013
6/16/1999,0.414063,0.429129,0.414063,225019200,0.414063
6/17/1999,0.425223,0.428571,0.408482,224403200,0.420759
6/18/1999,0.405134,0.421875,0.40346,208062400,0.415179
6/21/1999,0.419643,0.421875,0.410714,135150400,0.405134
6/22/1999,0.413504,0.419085,0.405134,151076800,0.390067
6/23/1999,0.402344,0.402623,0.388951,531496000,0.37779
6/24/1999,0.389509,0.389509,0.377232,433361600,0.376674
6/25/1999,0.379464,0.381138,0.375558,294134400,0.380022
6/28/1999,0.378906,0.383371,0.378348,277692800,0.405134
6/29/1999,0.381417,0.406808,0.38058,380385600,0.413504
6/30/1999,0.407924,0.419085,0.401228,343268800,0.404576
7/1/1999,0.413504,0.415737,0.404018,149217600,0.413504
7/2/1999,0.406529,0.418527,0.40346,123681600,0.422991
7/6/1999,0.410156,0.425223,0.40904,453812800,0.445313
7/7/1999,0.422991,0.453125,0.419643,1099156800,0.486607
7/8/1999,0.456473,0.491629,0.454241,1625041600,0.496652
7/9/1999,0.486607,0.496652,0.473214,608697600,0.486607
7/12/1999,0.495536,0.496652,0.483817,303912000,0.479353
7/13/1999,0.477679,0.483817,0.472098,283259200,0.499442
7/14/1999,0.486607,0.50558,0.486607,624556800,0.475446
7/15/1999,0.498884,0.499442,0.458147,1691804800,0.473772
7/16/1999,0.478795,0.486607,0.473214,411499200,0.486049
7/19/1999,0.481585,0.498326,0.467076,561299200,0.472098
7/20/1999,0.487165,0.495536,0.470982,442075200,0.482701
7/21/1999,0.482701,0.494978,0.472098,718166400,0.467634
7/22/1999,0.478795,0.481027,0.456473,406728000,0.476004
7/23/1999,0.47154,0.479911,0.470424,229051200,0.454799
7/26/1999,0.472098,0.473214,0.454241,351187200,0.479353
7/27/1999,0.469866,0.481585,0.46875,395908800,0.485491
7/28/1999,0.481027,0.49442,0.473214,328910400,0.481027
7/29/1999,0.476563,0.493304,0.47433,275475200,0.49721
7/30/1999,0.486607,0.501116,0.486607,383140800,0.497768
8/2/1999,0.496652,0.517857,0.495536,362443200,0.493304
8/3/1999,0.506696,0.512835,0.478795,368379200,0.480469
